"","Fecha Inicio Sintomas","cases"
"1",2020-02-28,1
"2",2020-02-29,1
"3",2020-03-01,4
"4",2020-03-02,2
"5",2020-03-03,2
"6",2020-03-04,1
"7",2020-03-05,7
"8",2020-03-06,10
"9",2020-03-07,7
"10",2020-03-08,8
"11",2020-03-09,12
"12",2020-03-10,18
"13",2020-03-11,16
"14",2020-03-12,18
"15",2020-03-13,42
"16",2020-03-14,43
"17",2020-03-15,82
"18",2020-03-16,80
"19",2020-03-17,78
"20",2020-03-18,78
"21",2020-03-19,113
"22",2020-03-20,149
"23",2020-03-21,111
"24",2020-03-22,98
"25",2020-03-23,114
"26",2020-03-24,111
"27",2020-03-25,141
"28",2020-03-26,129
"29",2020-03-27,122
"30",2020-03-28,146
"31",2020-03-29,105
"32",2020-03-30,123
"33",2020-03-31,92
"34",2020-04-01,188
"35",2020-04-02,137
"36",2020-04-03,129
"37",2020-04-04,165
"38",2020-04-05,134
"39",2020-04-06,175
"40",2020-04-07,133
"41",2020-04-08,150
"42",2020-04-09,138
"43",2020-04-10,212
"44",2020-04-11,161
"45",2020-04-12,193
"46",2020-04-13,208
"47",2020-04-14,196
"48",2020-04-15,205
"49",2020-04-16,232
"50",2020-04-17,183
"51",2020-04-18,257
"52",2020-04-19,220
"53",2020-04-20,355
"54",2020-04-21,234
"55",2020-04-22,228
"56",2020-04-23,292
"57",2020-04-24,289
"58",2020-04-25,323
"59",2020-04-26,359
"60",2020-04-27,361
"61",2020-04-28,420
"62",2020-04-29,358
"63",2020-04-30,469
"64",2020-05-01,694
"65",2020-05-02,571
"66",2020-05-03,517
"67",2020-05-04,653
"68",2020-05-05,770
"69",2020-05-06,775
"70",2020-05-07,664
"71",2020-05-08,717
"72",2020-05-09,734
"73",2020-05-10,1038
"74",2020-05-11,793
"75",2020-05-12,900
"76",2020-05-13,959
"77",2020-05-14,934
"78",2020-05-15,1105
"79",2020-05-16,1063
"80",2020-05-17,1138
"81",2020-05-18,1295
"82",2020-05-19,1248
"83",2020-05-20,1572
"84",2020-05-21,1298
"85",2020-05-22,1416
"86",2020-05-23,1207
"87",2020-05-24,1197
"88",2020-05-25,1473
"89",2020-05-26,1363
"90",2020-05-27,1424
"91",2020-05-28,1553
"92",2020-05-29,1551
"93",2020-05-30,1554
"94",2020-05-31,1317
"95",2020-06-01,2526
"96",2020-06-02,1805
"97",2020-06-03,1980
"98",2020-06-04,1800
"99",2020-06-05,2400
"100",2020-06-06,2268
"101",2020-06-07,1796
"102",2020-06-08,2665
"103",2020-06-09,2515
"104",2020-06-10,3229
"105",2020-06-11,2567
"106",2020-06-12,2986
"107",2020-06-13,2622
"108",2020-06-14,2413
"109",2020-06-15,3053
"110",2020-06-16,3759
"111",2020-06-17,3698
"112",2020-06-18,3991
"113",2020-06-19,4111
"114",2020-06-20,4747
"115",2020-06-21,3196
"116",2020-06-22,3649
"117",2020-06-23,4806
"118",2020-06-24,4348
"119",2020-06-25,5127
"120",2020-06-26,5356
"121",2020-06-27,4824
"122",2020-06-28,4549
"123",2020-06-29,4437
"124",2020-06-30,6237
"125",2020-07-01,8003
"126",2020-07-02,6156
"127",2020-07-03,6530
"128",2020-07-04,6313
"129",2020-07-05,6063
"130",2020-07-06,7487
"131",2020-07-07,7015
"132",2020-07-08,7368
"133",2020-07-09,7691
"134",2020-07-10,9424
"135",2020-07-11,7020
"136",2020-07-12,6828
"137",2020-07-13,8887
"138",2020-07-14,8634
"139",2020-07-15,8603
"140",2020-07-16,9000
"141",2020-07-17,8511
"142",2020-07-18,7618
"143",2020-07-19,6930
"144",2020-07-20,8435
"145",2020-07-21,8551
"146",2020-07-22,9253
"147",2020-07-23,9826
"148",2020-07-24,13002
"149",2020-07-25,10630
"150",2020-07-26,8075
"151",2020-07-27,11701
"152",2020-07-28,9850
"153",2020-07-29,9878
"154",2020-07-30,8348
"155",2020-07-31,9386
"156",2020-08-01,10720
"157",2020-08-02,8005
"158",2020-08-03,9814
"159",2020-08-04,9149
"160",2020-08-05,9131
"161",2020-08-06,9510
"162",2020-08-07,7374
"163",2020-08-08,8409
"164",2020-08-09,7445
"165",2020-08-10,10827
"166",2020-08-11,8204
"167",2020-08-12,8457
"168",2020-08-13,7651
"169",2020-08-14,7975
"170",2020-08-15,7394
"171",2020-08-16,6817
"172",2020-08-17,7199
"173",2020-08-18,8566
"174",2020-08-19,8807
"175",2020-08-20,10163
"176",2020-08-21,8255
