"","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta49","tau1","tau2","N0","A0","loss"
"likelihood_incubation_exp/tuned//202006102332",0.3408448,0.3408442,0.3408423,0.3408393,0.3408354,0.3408305,0.3408248,0.3408175,0.3408087,0.3407991,0.3407885,0.3407764,0.3407628,0.3407478,0.3407315,0.3407118,0.3406896,0.3406616,0.3406306,0.3405984,0.3405663,0.3405325,0.3404957,0.3404639,0.3404425,0.3404304,0.1263625,0.1263621,0.1263608,0.126359,0.1263564,0.1263555,0.1263559,0.1263583,0.1263591,0.1263612,0.1263649,0.1263698,0.1263768,0.126383,0.1263906,0.126399,0.1264082,0.1264157,0.126423,0.1264277,0.1264294,0.1264288,0.1264288,1.165608,0.05612547,5,5,6.788686
"likelihood_incubation_exp/tuned//202006102338",0.3408014,0.3408008,0.3407989,0.340796,0.340792,0.3407871,0.3407814,0.3407741,0.3407653,0.3407557,0.340745,0.340733,0.3407194,0.3407044,0.3406881,0.3406685,0.3406462,0.3406182,0.3405873,0.3405551,0.340523,0.3404892,0.3404524,0.3404206,0.3403992,0.340387,0.1263711,0.1263708,0.1263694,0.1263676,0.126365,0.1263641,0.1263645,0.1263669,0.1263677,0.1263698,0.1263735,0.1263784,0.1263854,0.1263916,0.1263992,0.1264077,0.1264168,0.1264243,0.1264317,0.1264363,0.1264381,0.1264374,0.1264374,1.166904,0.05613987,5,5,6.788686
"likelihood_incubation_exp/tuned//202006110338",0.3408385,0.3408379,0.340836,0.3408331,0.3408291,0.3408242,0.3408185,0.3408112,0.3408024,0.3407928,0.3407822,0.3407701,0.3407565,0.3407415,0.3407252,0.3407056,0.3406833,0.3406553,0.3406244,0.3405921,0.3405601,0.3405262,0.3404894,0.3404577,0.3404362,0.3404241,0.126364,0.1263637,0.1263623,0.1263605,0.1263579,0.126357,0.1263574,0.1263598,0.1263606,0.1263627,0.1263664,0.1263713,0.1263783,0.1263845,0.1263921,0.1264006,0.1264097,0.1264172,0.1264246,0.1264292,0.1264309,0.1264303,0.1264303,1.165803,0.0561279,5,5,6.788686
"likelihood_incubation_exp/tuned//202006110446",0.3407983,0.3407977,0.3407958,0.3407929,0.3407889,0.340784,0.3407783,0.340771,0.3407622,0.3407526,0.340742,0.3407299,0.3407163,0.3407014,0.3406851,0.3406654,0.3406432,0.3406152,0.3405843,0.3405521,0.34052,0.3404862,0.3404493,0.3404176,0.3403961,0.340384,0.1264346,0.1264343,0.1264329,0.1264311,0.1264285,0.1264276,0.126428,0.1264304,0.1264312,0.1264333,0.126437,0.1264419,0.1264489,0.1264551,0.1264628,0.1264712,0.1264804,0.1264879,0.1264953,0.1264999,0.1265016,0.126501,0.126501,1.168682,0.05622049,5,5,6.788686
"likelihood_incubation_exp/tuned//202006102250",0.3408895,0.3408889,0.340887,0.340884,0.3408801,0.3408752,0.3408694,0.3408622,0.3408534,0.3408438,0.3408332,0.3408211,0.3408075,0.3407925,0.3407762,0.3407566,0.3407344,0.3407064,0.3406754,0.3406432,0.3406111,0.3405773,0.3405404,0.3405087,0.3404872,0.3404751,0.1263912,0.1263909,0.1263895,0.1263878,0.1263852,0.1263843,0.1263847,0.1263871,0.1263879,0.12639,0.1263937,0.1263986,0.1264056,0.1264118,0.1264194,0.1264279,0.126437,0.1264445,0.1264519,0.1264565,0.1264583,0.1264576,0.1264576,1.165302,0.05615894,5,5,6.788687
"likelihood_incubation_exp/tuned//202006110343",0.3408119,0.3408113,0.3408094,0.3408064,0.3408025,0.3407976,0.3407918,0.3407846,0.3407758,0.3407662,0.3407556,0.3407435,0.3407299,0.3407149,0.3406986,0.340679,0.3406567,0.3406288,0.3405978,0.3405656,0.3405336,0.3404997,0.3404629,0.3404311,0.3404097,0.3403976,0.126448,0.1264476,0.1264462,0.1264445,0.1264419,0.1264409,0.1264413,0.1264438,0.1264446,0.1264467,0.1264504,0.1264553,0.1264623,0.1264685,0.1264762,0.1264846,0.1264938,0.1265013,0.1265087,0.1265133,0.126515,0.1265144,0.1265144,1.16872,0.05623669,5,5,6.788687
"likelihood_incubation_exp/tuned//202006110526",0.3409871,0.3409864,0.3409846,0.3409816,0.3409777,0.3409728,0.340967,0.3409597,0.340951,0.3409413,0.3409307,0.3409187,0.340905,0.3408901,0.3408738,0.3408541,0.3408319,0.3408039,0.3407729,0.3407407,0.3407086,0.3406748,0.3406379,0.3406061,0.3405846,0.3405725,0.1268959,0.1268956,0.1268942,0.1268924,0.1268898,0.1268889,0.1268893,0.1268918,0.1268926,0.1268948,0.1268985,0.1269035,0.1269106,0.1269169,0.1269246,0.1269331,0.1269423,0.1269499,0.1269574,0.1269621,0.1269638,0.1269632,0.1269632,1.176636,0.05679387,5,5,6.788699
"likelihood_incubation_exp/tuned//202006110159",0.5345153,0.5344914,0.5344661,0.5344394,0.5344114,0.534382,0.5343512,0.5343184,0.5342832,0.5342463,0.5342077,0.5341665,0.5341226,0.534076,0.5340269,0.5339726,0.5339141,0.5338482,0.5337794,0.5337103,0.5336436,0.5335774,0.5335111,0.5334562,0.5334193,0.5333984,0.291867,0.2918707,0.2918781,0.2918905,0.2919065,0.2919304,0.2919604,0.2919973,0.292033,0.2920728,0.2921162,0.2921617,0.29221,0.2922545,0.2922992,0.2923417,0.2923815,0.2924137,0.2924412,0.2924592,0.2924681,0.2924693,0.2924693,0.9031979,0.25,5,5,7.281836
"likelihood_incubation_exp/tuned//202006110749",0.6942727,0.6945053,0.694178,0.6931444,0.6922046,0.6934157,0.6692623,0.6464828,0.6233403,0.6028018,0.5825047,0.5627785,0.5597416,0.556462,0.5537456,0.5509352,0.5481431,0.5446369,0.5416465,0.5384446,0.5353103,0.5323056,0.5293299,0.5272994,0.5250652,0.5246886,0.1519869,0.1522893,0.152575,0.152643,0.1525699,0.1525768,0.1526438,0.1528348,0.1528024,0.152827,0.1528542,0.1528837,0.1529452,0.1529228,0.1528949,0.1530829,0.1531937,0.1533966,0.1533995,0.1534686,0.1535807,0.1536102,0.1537147,0.4307333,0.0853566,2.999508,0.004754946,173.4277
"likelihood_incubation_exp/tuned//202006110333",0.649211,0.6495384,0.6425338,0.6363103,0.634995,0.6315174,0.630265,0.6172579,0.6179457,0.6070424,0.6293061,0.638784,0.6431296,0.6254765,0.6206419,0.6120092,0.6067922,0.605339,0.6026207,0.6034579,0.6062022,0.6148525,0.6181662,0.61116,0.6091083,0.6092669,0.5857042,0.5862858,0.5869029,0.5867834,0.5955694,0.5996147,0.604005,0.6108665,0.6170763,0.6127925,0.6244345,0.6413658,0.6572158,0.5578974,0.4781276,0.4082711,0.3480125,0.2977071,0.2529089,0.2186782,0.2169965,0.215789,0.215671,2.579763,0.2478671,0.1566326,0.001694111,3530.537
